canddt_name_2014,caddi_sex_2014,cnddt_age_2014,canddt_category_2014
R.S.UMA BHARATTHY,F,49,GEN
KULDEEP RAI SHARMA,M,46,GEN
GOUR CHANDRA MAJUMDER,M,47,GEN
K.G.DAS,M,70,GEN
BISHNU PADA RAY,M,64,GEN
ANITA MONDAL,F,48,GEN
N K P NAIR,M,59,GEN
A PANDIAN,M,41,GEN
RAGHUBIR SINGH,M,49,GEN
SANJAY MESHACK,M,43,GEN
N KANNAN,M,35,GEN
V V KHALID,M,46,GEN
PRAKASH MINJ,M,38,ST
C G SAJI KUMAR,M,41,GEN
SARAVANAN,M,38,GEN
None of the Above,NOTA,0,NOTA
DR.JANAPATI SARAT BABU,M,42,SC
TAGARAM SHANKAR LAL,M,37,SC
BALKA SUMAN,M,31,SC
G. VIVEKANAND,M,56,SC
KALVALA SHANKAR,M,44,SC
KALVALA SANJEEV,M,37,SC
BOTHA VENKATA MALLAIAH,M,58,SC
J.V. RAJU,M,50,SC
VENKATA SWAMY INJAM,M,42,SC
VELTHURU MALLAIAH,M,57,SC
KAMILLA JAYA RAO,M,43,SC
GADDALA VINAY KUMAR,M,65,SC
GORRE RAMESH,M,43,SC
JINNA RAMADEVI,F,37,SC
THALLAPALLI SRINIVAS,M,35,SC
BUPELLI NARAYANA,M,30,SC
MOUTAM RAVINDER,M,33,SC
B.B. PATIL,M,58,GEN
K.MADAN MOHAN RAO,M,44,GEN
SYED FEROZUDDIN,M,46,GEN
SURESH KUMAR SHETKAR,M,53,GEN
MARRI DURGESH,M,30,SC
MAHMOOD MOHIUDDIN,M,44,GEN
DR. SUNEEL KUMAR CHOWDHARY,M,53,GEN
TANDALE AMBAJI RAO,M,45,GEN
BENJAMIN RAJU,M,43,GEN
RAMA RAO,M,45,GEN
KARUNAKAR.R,M,48,GEN
CH.MALLA REDDY,M,56,GEN
SARVEY SATHYANARAYANA,M,60,GEN
HANUMANTH RAO MYNAMPALLY,M,47,GEN
DR.JAYAPRAKASH  NARAYAN .N,M,58,GEN
JAJULA BHASKAR,M,39,GEN
V.DINESH REDDY,M,60,GEN
DIVAKAR DHARANIKOTA SUDHAKAR,M,28,GEN
PADURI SRINIVAS REDDY,M,39,GEN
BANDI SUDHAKAR,M,39,GEN
MURARI.T.N,M,60,GEN
SATHYANARAYANA YAADAV PEDDIBOYINA,M,40,GEN
SUTHARAPU PADMAIAH,M,60,GEN
DR.N.V.SUDHA KIRAN,M,48,GEN
SURAKANTI VENKAT REDDY,M,50,GEN
ANJANEYULU.E,M,28,GEN
KANTE SAYANNA,M,35,GEN
KOYALKAR BHOJ RAJ,M,56,GEN
GAJABINKAR BANSILAL,M,47,GEN
DASARI BHARATH REDDY,M,28,GEN
PROF. K.NAGESHWAR,M,50,GEN
M.NAGESWARA RAO,M,60,GEN
PEESARI SATISH REDDY,M,32,GEN
POTTURI TULASI DAS,M,62,GEN
POLISETTY KRISHNA RAO,M,28,GEN
D.BIKSHAPATHI,M,40,GEN
RAHUL PANDIT,M,48,GEN
VATTIKUTI RAMARAO GOUD,M,28,GEN
M.T.VARUGHESE,M,50,GEN
B.VEERA HANUMANTHA REDDY,M,48,GEN
M.ANJAN KUMAR YADAV,M,53,GEN
KHAJA KHALID ANWAR,M,47,GEN
BANDARU DATTATREYA,M,66,GEN
T.BHEEMSEN,M,65,GEN
ABDUS SATTAR MUJAHED,M,48,GEN
DR.N.S.UDAY KUMAR,M,53,GEN
KARANKOTE NARENDER,M,52,GEN
KUMAR CHOWDARY YADAV.G,M,55,GEN
