canddt_name_2019,canddt_sex_2019,canddt_age_2019,canddt_category_2019
(CA) SANJAY KUNDALIYA,M,47,GEN
(KUNWAR) ROBIN TYAGI,M,26,GEN
108 NILESH DAMOR,M,25,ST
A M Izharul Haque,M,43,GEN
A N RADHAKRISHNAN,M,59,GEN
A NARAYANASWAMY,M,62,SC
A T DADAKHALANDAR,M,37,GEN
A. AKHILESH,M,38,SC
A. Christhuraj,M,41,GEN
A. DEVADAS,M,51,ST
A. G. MOURYA,M,62,GEN
A. GANGADHAR,M,43,GEN
A. HEMANTH,M,28,SC
A. J. Patel,M,73,GEN
A. JAYAMANI,M,35,GEN
A. KARTHIK,M,29,GEN
A. MAHIPAL REDDY,M,36,GEN
A. MANIKANDAN,M,43,GEN
A. MARIMUTHU,M,34,SC
A. POSHETTY,M,32,GEN
A.A. Sabri,M,69,GEN
A.ANTONY SESU RAJA,M,37,GEN
A.C.SHANMUGAM,M,67,GEN
A.G.DAMODHARAN,M,46,GEN
A.G.PATHIMARAJ,M,33,GEN
A.J.SHERINE,F,26,GEN
A.K. MOORTHY,M,55,GEN
A.Kadir Mastan Sayed,M,45,GEN
A.Manikandan,M,32,SC
A.NOORMUHAMAD,M,61,GEN
A.PRADEEP KUMAR,M,55,GEN
A.RADHA KRISHNAN,M,63,SC
A.RAJU,M,58,GEN
A.RAVICHANDRAN,M,32,GEN
A.SEKHAR,M,69,GEN
A.VELLADURAI,M,51,GEN
A.VIJAY POUL RAJA,M,44,GEN
AadhiKrishnan P,M,43,SC
Aadil,M,30,GEN
AAKASH BIRLA,M,25,GEN
AAKASH KUMAR SINGH,M,27,GEN
AAMIN MAMADBHAI SAFIYA,M,30,GEN
Aappa Aaba Lokare,M,48,SC
Aare Ellanna,M,53,ST
AASHIN U. S.,M,32,GEN
AASHISH S SAXENA,M,39,GEN
AASHRAY SHARMA,M,32,GEN
AATMA RAM SAHU,M,37,GEN
AAYTU RAM MANDAVI,M,55,ST
Abbas F. Chhatriwala,M,43,GEN
ABDALLAH IBRAHIM,M,53,GEN
Abdual Rashid Ganie,M,44,GEN
ABDUL ASIPH,M,27,GEN
ABDUL AZEEM,M,44,GEN
Abdul Azeez,M,46,GEN
Abdul Aziz,M,60,GEN
Abdul Aziz,M,69,GEN
Abdul Bari Siddiqui,M,67,GEN
ABDUL BASEETH,M,30,GEN
Abdul Basheer,M,71,GEN
Abdul Hafeez Abdul Aziz,M,39,GEN
ABDUL HAMEED,M,42,GEN
