year,state,state_pc,pc_name,candidate,sex,age,category,party,party_symbol,general_votes,postal_votes,total_votes,total_electors
2019,Andhra Pradesh,AP-Aruku ,Aruku ,KISHORE CHANDRA DEO,M,72,ST,TDP,Bicycle,336163,1938,338101,1451418
2019,Andhra Pradesh,AP-Aruku ,Aruku ,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,M,54,ST,BJP,Lotus,17578,289,17867,1451418
2019,Andhra Pradesh,AP-Aruku ,Aruku ,GODDETI. MADHAVI,F,26,ST,YSRCP,Ceiling Fan,557561,4629,562190,1451418
2019,Andhra Pradesh,AP-Aruku ,Aruku ,SHRUTI DEVI VYRICHERLA,F,46,ST,INC,Hand,17656,74,17730,1451418
2019,Andhra Pradesh,AP-Aruku ,Aruku ,GANGULAIAH VAMPURU.,M,49,ST,JNP,Glass Tumbler,42245,549,42794,1451418
2019,Andhra Pradesh,AP-Aruku ,Aruku ,SWAMULA. SUBRAHMANYAM,M,50,ST,JAJGP,Mike,4705,5,4710,1451418
2019,Andhra Pradesh,AP-Aruku ,Aruku ,ANUMULA VAMSIKRISHNA,M,41,ST,IND,Helicopter,10211,29,10240,1451418
2019,Andhra Pradesh,AP-Aruku ,Aruku ,KANGALA BALUDORA,M,61,ST,IND,Cup & Saucer,13810,16,13826,1451418
2019,Andhra Pradesh,AP-Aruku ,Aruku ,NARAVA SATYAVATHI,F,37,ST,IND,Bangles,11231,5,11236,1451418
2019,Andhra Pradesh,AP-Aruku ,Aruku ,BIDDIKA RAMAYYA.,M,57,ST,IND,Battery Torch,7863,4,7867,1451418
2019,Andhra Pradesh,AP-Aruku ,Aruku ,None Of The Above,NOTA,0,NOTA,NOTA,NOTA,47955,22,47977,1451418
2019,Andhra Pradesh,AP-Srikakulam,Srikakulam,KINJARAPU RAM MOHAN NAIDU,M,32,GEN,TDP,Bicycle,529213,5331,534544,1553860
2019,Andhra Pradesh,AP-Srikakulam,Srikakulam,DOLA JAGAN,M,53,GEN,INC,Hand,13456,289,13745,1553860
2019,Andhra Pradesh,AP-Srikakulam,Srikakulam,DUVVADA SRINIVAS,M,52,GEN,YSRCP,Ceiling Fan,520931,6960,527891,1553860
2019,Andhra Pradesh,AP-Srikakulam,Srikakulam,PERLA SAMBA MURTHY,M,58,GEN,BJP,Lotus,7357,1033,8390,1553860
2019,Andhra Pradesh,AP-Srikakulam,Srikakulam,MATTA SATISH CHAKRAVARTHY,M,37,GEN,PPOI,FLUTE,1441,7,1448,1553860
2019,Andhra Pradesh,AP-Srikakulam,Srikakulam,METTA RAMARAO,M,53,GEN,JNP,Glass Tumbler,31319,637,31956,1553860
2019,Andhra Pradesh,AP-Srikakulam,Srikakulam,NAMBALLA KRISHNA MOHAN,M,44,GEN,IND,Electric Pole,4829,7,4836,1553860
2019,Andhra Pradesh,AP-Srikakulam,Srikakulam,NAIDUGARI RAJASEKHAR,M,35,GEN,IND,Helicopter,5151,5,5156,1553860
2019,Andhra Pradesh,AP-Srikakulam,Srikakulam,BETHA VIVEKANANDA MAHARAJ,M,33,GEN,IND,Football,3814,4,3818,1553860
2019,Andhra Pradesh,AP-Srikakulam,Srikakulam,None Of The Above,NOTA,0,NOTA,NOTA,NOTA,25500,45,25545,1553860
