state_2014,state_pc_2014,pc_name_2014,total_votes_2014,total_electors_2014,vtr_2014
Andaman & Nicobar Islands,AN-Andaman & Nicobar Islands,Andaman & Nicobar Islands,190328,269360,70.66
Andhra Pradesh,AP-Amalapuram ,Amalapuram ,1120927,1357865,82.55
Andhra Pradesh,AP-Anakapalli,Anakapalli,1148072,1401474,81.92
Andhra Pradesh,AP-Anantapur,Anantapur,1212145,1536894,78.87
Andhra Pradesh,AP-Aruku ,Aruku ,909614,1272340,71.49
Andhra Pradesh,AP-Bapatla ,Bapatla ,1184634,1392964,85.04
Andhra Pradesh,AP-Bhongir ,Bhongir ,1211732,1492240,81.20
Andhra Pradesh,AP-Chittoor ,Chittoor ,1198915,1451851,82.58
Andhra Pradesh,AP-Eluru ,Eluru ,1201697,1427764,84.17
Andhra Pradesh,AP-Guntur,Guntur,1244926,1572017,79.19
Andhra Pradesh,AP-Hindupur,Hindupur,1177257,1446496,81.39
Andhra Pradesh,AP-Kadapa,Kadapa,1200662,1550440,77.44
Andhra Pradesh,AP-Kakinada,Kakinada,1099999,1418290,77.56
Andhra Pradesh,AP-Kurnool,Kurnool,1065732,1481791,71.92
Andhra Pradesh,AP-Machilipatnam ,Machilipatnam ,1141065,1369311,83.33
Andhra Pradesh,AP-Mahabubabad  ,Mahabubabad  ,1124372,1387288,81.05
Andhra Pradesh,AP-Malkajgiri,Malkajgiri,1620444,3183083,50.91
Andhra Pradesh,AP-Nagarkurnool,Nagarkurnool,1108968,1477305,75.07
Andhra Pradesh,AP-Nandyal,Nandyal,1204956,1576945,76.41
Andhra Pradesh,AP-Narasaraopet,Narasaraopet,1282058,1514861,84.63
Andhra Pradesh,AP-Narsapuram,Narsapuram,1088947,1325028,82.18
Andhra Pradesh,AP-Nellore,Nellore,1187648,1606127,73.94
Andhra Pradesh,AP-Ongole ,Ongole ,1208225,1470212,82.18
Andhra Pradesh,AP-Peddapalle ,Peddapalle ,1022184,1425355,71.71
Andhra Pradesh,AP-Rajahmundry,Rajahmundry,1154381,1421276,81.22
Andhra Pradesh,AP-Rajampet,Rajampet,1158317,1487791,77.85
Andhra Pradesh,AP-Secundrabad,Secundrabad,1003769,1893741,53.00
Andhra Pradesh,AP-Srikakulam,Srikakulam,1052115,1413726,74.42
Andhra Pradesh,AP-Tirupati ,Tirupati ,1213062,1574161,77.06
Andhra Pradesh,AP-Vijayawada,Vijayawada,1195765,1564513,76.43
Andhra Pradesh,AP-Visakhapatnam,Visakhapatnam,1163558,1723011,67.53
Andhra Pradesh,AP-Vizianagaram,Vizianagaram,1120316,1403736,79.81
Andhra Pradesh,AP-Zahirabad,Zahirabad,1094806,1445354,75.75
Arunachal Pradesh,AR-Arunachal East,Arunachal East,261291,312704,83.56
Arunachal Pradesh,AR-Arunachal West,Arunachal West,335665,446640,75.15
Assam,AS-Autonomous District,Autonomous District,543280,702230,77.36
Assam,AS-Barpeta,Barpeta,1205863,1430188,84.31
Assam,AS-Dhubri,Dhubri,1369624,1550166,88.35
Assam,AS-Dibrugarh,Dibrugarh,890968,1124305,79.25
Assam,AS-Gauhati,Gauhati,1511729,1922270,78.64
Assam,AS-Jorhat,Jorhat,931336,1189486,78.30
Assam,AS-Kaliabor,Kaliabor,1166490,1457219,80.05
Assam,AS-Karimganj ,Karimganj ,886920,1165997,76.07
Assam,AS-Kokrajhar,Kokrajhar,1223869,1505472,81.29
Assam,AS-Lakhimpur,Lakhimpur,1111975,1431080,77.70
Assam,AS-Mangaldoi,Mangaldoi,1233237,1515676,81.37
Assam,AS-Nowgong,Nowgong,1230074,1523881,80.72
Assam,AS-Silchar,Silchar,799830,1060175,75.44
Assam,AS-Tezpur,Tezpur,980688,1259568,77.86
Bihar,BR-Araria,Araria,975811,1587332,61.47
Bihar,BR-Arrah,Arrah,893213,1824515,48.96
Bihar,BR-Aurangabad,Aurangabad,786274,1536153,51.18
Bihar,BR-Banka,Banka,899353,1549456,58.04
Bihar,BR-Begusarai,Begusarai,1077855,1778759,60.60
Bihar,BR-Bhagalpur,Bhagalpur,974016,1685339,57.79
Bihar,BR-Buxar,Buxar,888204,1640671,54.14
Bihar,BR-Darbhanga,Darbhanga,828342,1495445,55.39
Bihar,BR-Gaya (Sc),Gaya (Sc),809378,1501521,53.90
Bihar,BR-Gopalganj (Sc),Gopalganj (Sc),903583,1654838,54.60
Bihar,BR-Hajipur (Sc),Hajipur (Sc),904706,1649547,54.85
Bihar,BR-Jahanabad,Jahanabad,811516,1423246,57.02
Bihar,BR-Jamui (Sc),Jamui (Sc),775639,1550936,50.01
Bihar,BR-Jhanjharpur,Jhanjharpur,941249,1668405,56.42
Bihar,BR-Karakat,Karakat,789927,1580558,49.98
Bihar,BR-Katihar,Katihar,977830,1446478,67.60
Bihar,BR-Khagaria,Khagaria,896231,1506587,59.49
Bihar,BR-Kishanganj,Kishanganj,928490,1438990,64.52
Bihar,BR-Madhepura,Madhepura,1034799,1725693,59.96
Bihar,BR-Madhubani,Madhubani,860453,1627832,52.86
Bihar,BR-Maharajganj,Maharajganj,846654,1642068,51.56
Bihar,BR-Munger,Munger,914350,1719984,53.16
Bihar,BR-Muzaffarpur,Muzaffarpur,948887,1551363,61.16
Bihar,BR-Nalanda,Nalanda,921761,1951967,47.22
Bihar,BR-Nawada,Nawada,884441,1694895,52.18
Bihar,BR-Paschim Champaran,Paschim Champaran,854800,1413148,60.49
Bihar,BR-Pataliputra,Pataliputra,978649,1736074,56.37
Bihar,BR-Patna Sahib,Patna Sahib,882262,1946249,45.33
Bihar,BR-Purnia,Purnia,1017732,1582626,64.31
Bihar,BR-Purvi Champaran,Purvi Champaran,822671,1439253,57.16
Bihar,BR-Samastipur (Sc),Samastipur (Sc),863199,1504451,57.38
Bihar,BR-Saran,Saran,863254,1538740,56.10
Bihar,BR-Sasaram (Sc),Sasaram (Sc),846788,1607747,52.67
Bihar,BR-Sheohar,Sheohar,842894,1485801,56.73
Bihar,BR-Sitamarhi,Sitamarhi,900588,1574914,57.18
Bihar,BR-Siwan,Siwan,884021,1563860,56.53
Bihar,BR-Supaul,Supaul,970528,1525583,63.62
Bihar,BR-Ujiarpur,Ujiarpur,858920,1426217,60.22
Bihar,BR-Vaishali,Vaishali,925937,1566321,59.12
Bihar,BR-Valmiki Nagar,Valmiki Nagar,900127,1456598,61.80
Chandigarh,CH-Chandigarh,Chandigarh,453455,615214,73.71
Daman & Diu,DD-Daman & Diu,Daman & Diu,87233,111827,78.01
NCT OF Delhi,DL-Chandni Chowk                 ,Chandni Chowk                 ,981863,1447230,67.84
NCT OF Delhi,DL-East Delhi                    ,East Delhi                    ,1196336,1829578,65.39
NCT OF Delhi,DL-New Delhi                     ,New Delhi                     ,969812,1490147,65.08
NCT OF Delhi,DL-North East Delhi              ,North East Delhi              ,1317338,1957708,67.29
NCT OF Delhi,DL-North West Delhi              ,North West Delhi              ,1356036,2194343,61.80
NCT OF Delhi,DL-South Delhi                   ,South Delhi                   ,1102410,1752748,62.90
NCT OF Delhi,DL-West Delhi                    ,West Delhi                    ,1347971,2039410,66.10
Dadra & Nagar Haveli,DN-Dadar & Nagar Haveli,Dadar & Nagar Haveli,165286,196597,84.07
Goa,GA-North Goa,North Goa,406631,515441,78.89
Goa,GA-South Goa,South Goa,410369,545336,75.25
Gujarat,GJ-Ahmedabad East,Ahmedabad East,985525,1601832,61.52
Gujarat,GJ-Ahmedabad West,Ahmedabad West,964609,1534400,62.87
Gujarat,GJ-Amreli,Amreli,808816,1486286,54.42
Gujarat,GJ-Anand,Anand,970894,1496859,64.86
Gujarat,GJ-Banaskantha,Banaskantha,886634,1515711,58.50
Gujarat,GJ-Bardoli,Bardoli,1206179,1614106,74.73
Gujarat,GJ-Bharuch,Bharuch,1060211,1417548,74.79
Gujarat,GJ-Bhavnagar,Bhavnagar,917402,1594531,57.53
Gujarat,GJ-Chhota Udaipur,Chhota Udaipur,1100542,1536305,71.64
Gujarat,GJ-Dahod,Dahod,900381,1411765,63.78
Gujarat,GJ-Gandhinagar,Gandhinagar,1135495,1733972,65.49
Gujarat,GJ-Jamnagar,Jamnagar,852643,1470952,57.97
Gujarat,GJ-Junagadh,Junagadh,941378,1485543,63.37
Gujarat,GJ-Kachchh,Kachchh,946240,1533782,61.69
Gujarat,GJ-Kheda,Kheda,955906,1599476,59.76
Gujarat,GJ-Mahesana,Mahesana,1004258,1498219,67.03
Gujarat,GJ-Navsari,Navsari,1160747,1764622,65.78
Gujarat,GJ-Panchmahal,Panchmahal,933461,1576667,59.20
Gujarat,GJ-Patan,Patan,955799,1628641,58.69
Gujarat,GJ-Porbandar,Porbandar,809433,1539223,52.59
Gujarat,GJ-Rajkot,Rajkot,1057069,1655717,63.84
Gujarat,GJ-Sabarkantha,Sabarkantha,1094002,1615840,67.70
Gujarat,GJ-Surat,Surat,947922,1484068,63.87
Gujarat,GJ-Surendranagar,Surendranagar,944677,1656657,57.02
Gujarat,GJ-Vadodara,Vadodara,1161577,1638321,70.90
Gujarat,GJ-Valsad,Valsad,1122203,1512061,74.22
Himachal Pradesh,HP-Hamirpur,Hamirpur,835205,1247699,66.94
Himachal Pradesh,HP-Kangra,Kangra,799445,1258601,63.52
Himachal Pradesh,HP-Mandi,Mandi,726094,1150408,63.12
Himachal Pradesh,HP-Shimla,Shimla,737756,1153363,63.97
Haryana,HR-Ambala,Ambala,1218995,1692424,72.03
Haryana,HR-Bhiwani-Mahendragarh,Bhiwani-Mahendragarh,1030431,1473912,69.91
Haryana,HR-Faridabad,Faridabad,1130725,1740352,64.97
Haryana,HR-Gurgaon,Gurgaon,1320620,1844906,71.58
Haryana,HR-Hisar,Hisar,1155914,1517606,76.17
Haryana,HR-Karnal,Karnal,1193500,1684321,70.86
Haryana,HR-Kurukshetra,Kurukshetra,1135892,1498459,75.80
Haryana,HR-Rohtak,Rohtak,1044331,1567508,66.62
Haryana,HR-Sirsa,Sirsa,1279105,1660557,77.03
Haryana,HR-Sonipat,Sonipat,985638,1417188,69.55
Jharkhand,JH-Chatra,Chatra,712971,1312562,54.32
Jharkhand,JH-Dhanbad,Dhanbad,1143902,1890021,60.52
Jharkhand,JH-Dumka,Dumka,903060,1273049,70.94
Jharkhand,JH-Giridih,Giridih,969997,1511644,64.17
Jharkhand,JH-Godda,Godda,1049442,1590772,65.97
Jharkhand,JH-Hazaribagh,Hazaribagh,967152,1518923,63.67
Jharkhand,JH-Jamshedpur,Jamshedpur,1049140,1581665,66.33
Jharkhand,JH-Khunti,Khunti,736955,1111856,66.28
Jharkhand,JH-Kodarma,Kodarma,1024906,1639645,62.51
Jharkhand,JH-Lohardaga,Lohardaga,651460,1119144,58.21
Jharkhand,JH-Palamau,Palamau,977323,1645957,59.38
Jharkhand,JH-Rajmahal,Rajmahal,951563,1353467,70.31
Jharkhand,JH-Ranchi,Ranchi,1049783,1648459,63.68
Jharkhand,JH-Singhbhum,Singhbhum,795286,1152632,69.00
Jammu & Kashmir,JK-Anantnag,Anantnag,375279,1301143,28.84
Jammu & Kashmir,JK-Baramulla,Baramulla,465992,1190766,39.13
Jammu & Kashmir,JK-Jammu,Jammu,1253593,1848155,67.83
Jammu & Kashmir,JK-Ladakh,Ladakh,118029,166763,70.78
Jammu & Kashmir,JK-Srinagar,Srinagar,312212,1207230,25.86
Jammu & Kashmir,JK-Udhampur,Udhampur,1041758,1469072,70.91
Karnataka,KA-Bagalkot,Bagalkot,1079310,1568633,68.81
Karnataka,KA-Bangalore Central,Bangalore Central,1074589,1931456,55.64
Karnataka,KA-Bangalore North,Bangalore North,1356718,2401472,56.50
Karnataka,KA-Bangalore Rural,Bangalore Rural,1455244,2190398,66.44
Karnataka,KA-Bangalore South,Bangalore South,1113726,1998724,55.72
Karnataka,KA-Belgaum,Belgaum,1078528,1580895,68.22
Karnataka,KA-Bellary,Bellary,1045772,1487945,70.28
Karnataka,KA-Bidar,Bidar,959384,1600962,59.93
Karnataka,KA-Bijapur,Bijapur,966757,1622635,59.58
Karnataka,KA-Chamarajanagar,Chamarajanagar,1133029,1555781,72.83
Karnataka,KA-Chikkballapur,Chikkballapur,1263274,1658410,76.17
Karnataka,KA-Chikkodi,Chikkodi,1071103,1442206,74.27
Karnataka,KA-Chitradurga,Chitradurga,1096499,1661277,66.00
Karnataka,KA-Dakshina Kannada,Dakshina Kannada,1207474,1565219,77.14
Karnataka,KA-Davanagere,Davanagere,1114868,1522712,73.22
Karnataka,KA-Dharwad,Dharwad,1041226,1578125,65.98
Karnataka,KA-Gulbarga,Gulbarga,997638,1721990,57.94
Karnataka,KA-Hassan,Hassan,1147172,1561486,73.47
Karnataka,KA-Haveri,Haveri,1115968,1558749,71.59
Karnataka,KA-Kolar,Kolar,1127315,1492977,75.51
Karnataka,KA-Koppal,Koppal,1006508,1535105,65.57
Karnataka,KA-Mandya,Mandya,1192638,1669262,71.45
Karnataka,KA-Mysore,Mysore,1159594,1723134,67.30
Karnataka,KA-Raichur,Raichur,968889,1661606,58.31
Karnataka,KA-Shimoga,Shimoga,1129008,1562243,72.27
Karnataka,KA-Tumkur,Tumkur,1101484,1518518,72.54
Karnataka,KA-Udupi Chikmagalur,Udupi Chikmagalur,1034108,1387294,74.54
Karnataka,KA-Uttara Kannada,Uttara Kannada,1001038,1450599,69.01
Kerala,KL-Alappuzha,Alappuzha,997464,1271324,78.46
Kerala,KL-Alathur ,Alathur ,927228,1216351,76.23
Kerala,KL-Attingal,Attingal,859350,1251398,68.67
Kerala,KL-Chalakudy,Chalakudy,884033,1150497,76.84
Kerala,KL-Ernakulam,Ernakulam,850834,1156492,73.57
Kerala,KL-Idukki,Idukki,819766,1158735,70.75
Kerala,KL-Kannur,Kannur,947117,1170266,80.93
Kerala,KL-Kasaragod,Kasaragod,974215,1243730,78.33
Kerala,KL-Kollam,Kollam,879056,1219415,72.09
Kerala,KL-Kottayam,Kottayam,831636,1161465,71.60
Kerala,KL-Kozhikode,Kozhikode,943009,1182484,79.75
Kerala,KL-Malappuram,Malappuram,853467,1198444,71.21
Kerala,KL-Mavelikkara ,Mavelikkara ,889060,1252668,70.97
Kerala,KL-Palakkad,Palakkad,910322,1208726,75.31
Kerala,KL-Pathanamthitta,Pathanamthitta,869452,1323906,65.67
Kerala,KL-Ponnani,Ponnani,871592,1180789,73.81
Kerala,KL-Thiruvananthapuram,Thiruvananthapuram,873441,1272748,68.63
Kerala,KL-Thrissur,Thrissur,920505,1275288,72.18
Kerala,KL-Vadakara,Vadakara,959342,1182504,81.13
Kerala,KL-Wayanad,Wayanad,915006,1249420,73.23
Lakshadweep,LD-Lakshadweep,Lakshadweep,43239,49922,86.61
Maharashtra,MH-Ahmadnagar ,Ahmadnagar ,1062318,1705005,62.31
Maharashtra,MH-Akola,Akola,978491,1672643,58.50
Maharashtra,MH-Amravati ,Amravati ,1004061,1612739,62.26
Maharashtra,MH-Aurangabad,Aurangabad,982933,1589395,61.84
Maharashtra,MH-Baramati,Baramati,1066556,1813553,58.81
Maharashtra,MH-Beed,Beed,1232200,1792652,68.74
Maharashtra,MH-Bhandara - Gondiya,Bhandara - Gondiya,1197196,1655852,72.30
Maharashtra,MH-Bhiwandi,Bhiwandi,875605,1696584,51.61
Maharashtra,MH-Buldhana,Buldhana,978626,1595435,61.34
Maharashtra,MH-Chandrapur,Chandrapur,1109743,1753690,63.28
Maharashtra,MH-Dhule,Dhule,983083,1675367,58.68
Maharashtra,MH-Dindori ,Dindori ,970182,1530208,63.40
Maharashtra,MH-Gadchiroli-Chimur,Gadchiroli-Chimur,1027129,1468437,69.95
Maharashtra,MH-Hatkanangle,Hatkanangle,1188871,1630604,72.91
Maharashtra,MH-Hingoli ,Hingoli ,1051164,1586194,66.27
Maharashtra,MH-Jalgaon,Jalgaon,990332,1707969,57.98
Maharashtra,MH-Jalna,Jalna,1066259,1612056,66.14
Maharashtra,MH-Kalyan,Kalyan,824196,1922034,42.88
Maharashtra,MH-Kolhapur,Kolhapur,1260289,1758293,71.68
Maharashtra,MH-Latur ,Latur ,1057156,1686957,62.67
Maharashtra,MH-Madha,Madha,1079619,1727322,62.50
Maharashtra,MH-Maval,Maval,1174335,1953741,60.11
Maharashtra,MH-Mumbai   South,Mumbai   South,779741,1485844,52.48
Maharashtra,MH-Mumbai North,Mumbai North,946562,1783870,53.06
