state_2019,state_pc_2019,pc_name_2019,tota_votes_2019,total_electors_2019,vtr_2019
Andaman & Nicobar Islands,AN-Andaman & Nicobar Islands,Andaman & Nicobar Islands,207296,318471,65.09
Andhra Pradesh,AP-Amalapuram ,Amalapuram ,1232895,1459556,84.47
Andhra Pradesh,AP-Anakapalli,Anakapalli,1238491,1521363,81.41
Andhra Pradesh,AP-Anantapur,Anantapur,1342306,1664160,80.66
Andhra Pradesh,AP-Aruku ,Aruku ,1074538,1451418,74.03
Andhra Pradesh,AP-Bapatla ,Bapatla ,1266492,1468671,86.23
Andhra Pradesh,AP-Chittoor ,Chittoor ,1319472,1566499,84.23
Andhra Pradesh,AP-Eluru ,Eluru ,1327923,1594950,83.26
Andhra Pradesh,AP-Guntur,Guntur,1351474,1706119,79.21
Andhra Pradesh,AP-Hindupur,Hindupur,1338514,1578218,84.81
Andhra Pradesh,AP-Kadapa,Kadapa,1228242,1570330,78.22
Andhra Pradesh,AP-Kakinada,Kakinada,1234655,1563930,78.95
Andhra Pradesh,AP-Kurnool,Kurnool,1188327,1573009,75.54
Andhra Pradesh,AP-Machilipatnam ,Machilipatnam ,1244570,1473347,84.47
Andhra Pradesh,AP-Nandyal,Nandyal,1299093,1603220,81.03
Andhra Pradesh,AP-Narasaraopet,Narasaraopet,1437420,1670391,86.05
Andhra Pradesh,AP-Narsapuram,Narsapuram,1177738,1439691,81.80
Andhra Pradesh,AP-Nellore,Nellore,1287036,1672845,76.94
Andhra Pradesh,AP-Ongole ,Ongole ,1342368,1556469,86.24
Andhra Pradesh,AP-Rajahmundry,Rajahmundry,1250427,1534256,81.50
Andhra Pradesh,AP-Rajampet,Rajampet,1224354,1546938,79.15
Andhra Pradesh,AP-Srikakulam,Srikakulam,1157329,1553860,74.48
Andhra Pradesh,AP-Tirupati ,Tirupati ,1313515,1650453,79.59
Andhra Pradesh,AP-Vijayawada,Vijayawada,1277711,1652994,77.30
Andhra Pradesh,AP-Visakhapatnam,Visakhapatnam,1239754,1829300,67.77
Andhra Pradesh,AP-Vizianagaram,Vizianagaram,1217890,1503980,80.98
Arunachal Pradesh,AR-Arunachal East,Arunachal East,293781,339788,86.46
Arunachal Pradesh,AR-Arunachal West,Arunachal West,358310,463775,77.26
Assam,AS-Autonomous District,Autonomous District,617735,795945,77.61
Assam,AS-Barpeta,Barpeta,1458549,1685149,86.55
Assam,AS-Dhubri,Dhubri,1685005,1858566,90.66
Assam,AS-Dibrugarh,Dibrugarh,1015748,1314319,77.28
Assam,AS-Gauhati,Gauhati,1763757,2181319,80.86
Assam,AS-Jorhat,Jorhat,1057965,1365035,77.50
Assam,AS-Kaliabor,Kaliabor,1424687,1734938,82.12
Assam,AS-Karimganj ,Karimganj ,1060072,1340173,79.10
Assam,AS-Kokrajhar,Kokrajhar,1479485,1776358,83.29
Assam,AS-Lakhimpur,Lakhimpur,1283589,1708013,75.15
Assam,AS-Mangaldoi,Mangaldoi,1506107,1800237,83.66
Assam,AS-Nowgong,Nowgong,1493475,1794648,83.22
Assam,AS-Silchar,Silchar,949696,1195720,79.42
Assam,AS-Tezpur,Tezpur,1190196,1499639,79.37
Bihar,BR-Araria,Araria,1169630,1805439,64.78
Bihar,BR-Arrah,Arrah,1080684,2089353,51.72
Bihar,BR-Aurangabad,Aurangabad,934901,1742883,53.64
Bihar,BR-Banka,Banka,995806,1699394,58.60
Bihar,BR-Begusarai,Begusarai,1225594,1958382,62.58
Bihar,BR-Bhagalpur,Bhagalpur,1042518,1823820,57.16
Bihar,BR-Buxar,Buxar,986861,1829373,53.95
Bihar,BR-Darbhanga,Darbhanga,964996,1654811,58.31
Bihar,BR-Gaya (Sc),Gaya (Sc),957248,1704596,56.16
Bihar,BR-Gopalganj (Sc),Gopalganj (Sc),1024876,1839514,55.71
Bihar,BR-Hajipur (Sc),Hajipur (Sc),1006817,1823664,55.21
Bihar,BR-Jahanabad,Jahanabad,822065,1588454,51.75
